status,orderId,open_date,open_price,side,size,sl,tp,fee,order_comment,close_id,close_date,close_price,order_profit,zone,zone_profit
close,1618556423,2021-04-16 07:00:23,1.661,LONG,3.6,,,0.004813952000000001,"open:1.04997 sys0:[1.6608,1.661]| close:1.06618 sys0:[1.6833,1.6834]",1618558635,2021-04-16 07:37:15,1.6833,0.07546604800000013,1.05,0.0073485064000017725
close,1618556423,2021-04-16 07:00:23,0.61077,SHORT,9.8,,,0.0048095416,"open:1.04997 sys1:[0.61077,0.61083]| close:1.06618 sys1:[0.61722,0.61723]",1618558635,2021-04-16 07:37:15,0.61723,-0.06811754159999836,1.05,0.0073485064000017725
close,1618556350,2021-04-16 06:59:10,1.6671,LONG,3.6,,,0.004830864,"open:1.05498 sys0:[1.667,1.6671]| close:1.07045 sys0:[1.6881,1.6882]",1618558761,2021-04-16 07:39:21,1.6881,0.07076913599999966,1.055,0.007833516799999884
close,1618556350,2021-04-16 06:59:10,0.61183,SHORT,9.8,,,0.0048216192,"open:1.05498 sys1:[0.61183,0.61202]| close:1.07045 sys1:[0.61775,0.61776]",1618558761,2021-04-16 07:39:21,0.61776,-0.06293561919999978,1.055,0.007833516799999884
close,1618553976,2021-04-16 06:19:36,1.6709,LONG,3.6,,,0.0048505119999999995,"open:1.06002 sys0:[1.6708,1.6709]| close:1.07736 sys0:[1.6948,1.6949]",1618559819,2021-04-16 07:56:59,1.6948,0.08118948799999967,1.06,0.008268691999999772
close,1618553976,2021-04-16 06:19:36,0.6106,SHORT,9.8,,,0.004810796000000001,"open:1.06002 sys1:[0.6106,0.61078]| close:1.07736 sys1:[0.61754,0.61755]",1618559819,2021-04-16 07:56:59,0.61755,-0.0729207959999999,1.06,0.008268691999999772
close,1618553932,2021-04-16 06:18:52,1.6774,LONG,3.6,,,0.0048648319999999995,"open:1.06501 sys0:[1.6773,1.6774]| close:1.07999 sys0:[1.6978,1.6979]",1618559829,2021-04-16 07:57:09,1.6978,0.06857516799999973,1.065,0.007108921599999367
close,1618553932,2021-04-16 06:18:52,0.61214,SHORT,9.8,,,0.004822246400000001,"open:1.06501 sys1:[0.61214,0.61229]| close:1.07999 sys1:[0.61791,0.61792]",1618559829,2021-04-16 07:57:09,0.61792,-0.06146624640000036,1.065,0.007108921599999367
close,1618560213,2021-04-16 08:03:33,1.6644,LONG,3.6,,,0.0048071039999999995,"open:1.04999 sys0:[1.6643,1.6644]| close:1.05656 sys0:[1.6716,1.6717]",1618560238,2021-04-16 08:03:58,1.6716,0.021112895999999277,1.05,0.007667390399999091
close,1618560213,2021-04-16 08:03:33,0.6143,SHORT,9.8,,,0.0048215056,"open:1.04999 sys1:[0.6143,0.61431]| close:1.05656 sys1:[0.61514,0.61518]",1618560238,2021-04-16 08:03:58,0.61518,-0.013445505600000187,1.05,0.007667390399999091
close,1618560072,2021-04-16 08:01:12,1.6698,LONG,3.6,,,0.004825680000000001,"open:1.05502 sys0:[1.6697,1.6698]| close:1.06633 sys0:[1.6845,1.6846]",1618560523,2021-04-16 08:08:43,1.6845,0.0480943200000003,1.055,0.007882662400000615
close,1618560072,2021-04-16 08:01:12,0.61467,SHORT,9.8,,,0.0048336576,"open:1.05502 sys1:[0.61467,0.61468]| close:1.06633 sys1:[0.61827,0.61828]",1618560523,2021-04-16 08:08:43,0.61828,-0.04021165759999969,1.055,0.007882662400000615
close,1618560048,2021-04-16 08:00:48,1.6759,LONG,3.6,,,0.004844896,"open:1.06004 sys0:[1.6758,1.6759]| close:1.07204 sys0:[1.6909,1.691]",1618560533,2021-04-16 08:08:53,1.6909,0.04915510400000027,1.06,0.009442569199999765
close,1618560048,2021-04-16 08:00:48,0.61561,SHORT,9.7,,,0.0047925348000000005,"open:1.06004 sys1:[0.61561,0.61576]| close:1.07204 sys1:[0.61896,0.61921]",1618560533,2021-04-16 08:08:53,0.61921,-0.039712534800000504,1.06,0.009442569199999765
close,1618559994,2021-04-16 07:59:54,1.68,LONG,3.6,,,0.0048651200000000006,"open:1.065 sys0:[1.6799,1.68]| close:1.07867 sys0:[1.698,1.6982]",1618560550,2021-04-16 08:09:10,1.698,0.05993487999999997,1.065,0.008447891199999724
close,1618559994,2021-04-16 07:59:54,0.61488,SHORT,9.8,,,0.0048389888,"open:1.065 sys1:[0.61488,0.6149]| close:1.07867 sys1:[0.61953,0.61964]",1618560550,2021-04-16 08:09:10,0.61964,-0.051486988800000244,1.065,0.008447891199999724
close,1618561421,2021-04-16 08:23:41,1.6852,LONG,3.6,,,0.004868496,"open:1.06506 sys0:[1.6851,1.6852]| close:1.07234 sys0:[1.6934,1.6935]",1618561529,2021-04-16 08:25:29,1.6934,0.02465150399999977,1.065,0.008676325600000187
close,1618561421,2021-04-16 08:23:41,0.62003,SHORT,9.7,,,0.0048201784,"open:1.06506 sys1:[0.62003,0.62004]| close:1.07234 sys1:[0.62116,0.62118]",1618561529,2021-04-16 08:25:29,0.62118,-0.01597517839999958,1.065,0.008676325600000187
close,1618561998,2021-04-16 08:33:18,1.6738,LONG,3.6,,,0.0048292000000000005,"open:1.05496 sys0:[1.6737,1.6738]| close:1.06106 sys0:[1.68,1.6802]",1618562486,2021-04-16 08:41:26,1.68,0.017490799999999675,1.055,0.007644497999999849
close,1618561998,2021-04-16 08:33:18,0.61863,SHORT,9.7,,,0.004802302,"open:1.05496 sys1:[0.61863,0.61874]| close:1.06106 sys1:[0.61914,0.61915]",1618562486,2021-04-16 08:41:26,0.61915,-0.009846301999999826,1.055,0.007644497999999849
close,1618561856,2021-04-16 08:30:56,1.68,LONG,3.6,,,0.004843952,"open:1.06 sys0:[1.6798,1.68]| close:1.06458 sys0:[1.6833,1.6835]",1618562711,2021-04-16 08:45:11,1.6833,0.0070360480000005565,1.06,0.009412211600001129
close,1618561856,2021-04-16 08:30:56,0.61977,SHORT,9.7,,,0.0048018364,"open:1.06 sys1:[0.61977,0.6198]| close:1.06458 sys1:[0.61892,0.61903]",1618562711,2021-04-16 08:45:11,0.61903,0.0023761636000005732,1.06,0.009412211600001129
close,1618562876,2021-04-16 08:47:56,1.672,LONG,3.6,,,0.004826608,"open:1.05505 sys0:[1.6719,1.672]| close:1.06093 sys0:[1.6782,1.6783]",1618562930,2021-04-16 08:48:50,1.6782,0.017493392000000562,1.055,0.007372918800001805
