status,open_id,open_date,open_price,side,size,sl,tp,fee,order_comment,close_id,close_date,close_price,order_profit,zone,zone_profit
close,1617645405,"2021-04-06, 00:56:44",0.5021,sell,11.9,,,0.0048189090000000006,close 0.510275,1617645991,"2021-04-06, 01:06:30",0.510275,-0.10210140900000038,0.32,0.00237183199999913
close,1617646198,"2021-04-06, 01:09:57",0.8248,buy,7.3,,,0.004836885,close 0.83075,1617646221,"2021-04-06, 01:10:21",0.831125,0.04133561500000084,0.32,0.04099657600000154
close,1617646198,"2021-04-06, 01:09:58",0.5049,sell,11.9,,,0.0048015390000000005,close 0.504525,1617646221,"2021-04-06, 01:10:21",0.504525,-0.0003390389999992985,0.32,0.04099657600000154
close,1617644400,"2021-04-06, 00:40:00",0.825,buy,7.3,,,0.004849587,close 0.83545,1617646342,"2021-04-06, 01:12:22",0.835475,0.07161791299999969,0.325,0.009194872999998924
close,1617644400,"2021-04-06, 00:40:00",0.5,sell,12.0,,,0.004823040000000001,close 0.50475,1617646343,"2021-04-06, 01:12:22",0.5048,-0.06242304000000076,0.325,0.009194872999998924
close,1617646698,"2021-04-06, 01:18:18",0.826975,buy,7.3,,,0.004841702999999999,close 0.8329,1617647010,"2021-04-06, 01:23:29",0.832775,0.037498296999999375,0.325,0.03747833699999885
close,1617646699,"2021-04-06, 01:18:18",0.502475,sell,12.0,,,0.00481996,close 0.502075,1617647010,"2021-04-06, 01:23:30",0.502075,-1.9960000000528513e-05,0.325,0.03747833699999885
close,1617641333,"2021-04-05, 23:48:53",0.83815,buy,7.2,,,0.004831,close 0.841075,1617647130,"2021-04-06, 01:25:29",0.840625,0.01298900000000039,0.33,0.03947528200000052
close,1617641333,"2021-04-05, 23:48:53",0.507675,sell,11.8,,,0.004783717999999999,close 0.505025,1617647130,"2021-04-06, 01:25:30",0.505025,0.02648628200000013,0.33,0.03947528200000052
close,1617641100,"2021-04-05, 23:45:00",0.853725,buy,7.0,,,0.00477,close 0.849675,1617647218,"2021-04-06, 01:26:58",0.85,-0.030844999999999626,0.335,0.0890850959999993
close,1617641101,"2021-04-05, 23:45:00",0.51935,sell,11.6,,,0.004769904,close 0.5086,1617647218,"2021-04-06, 01:26:58",0.5086,0.11993009599999892,0.335,0.0890850959999993
close,1617647217,"2021-04-06, 01:26:57",0.8489,buy,7.1,,,0.004842104999999999,close 0.85635,1617647262,"2021-04-06, 01:27:42",0.856375,0.04823039499999986,0.34,0.01982118899999979
close,1617647217,"2021-04-06, 01:26:57",0.508425,sell,11.8,,,0.004809206,close 0.510225,1617647262,"2021-04-06, 01:27:42",0.510425,-0.028409206000000065,0.34,0.01982118899999979
close,1617648558,"2021-04-06, 01:49:18",0.8197,buy,7.3,,,0.004799511,close 0.825225,1617649047,"2021-04-06, 01:57:27",0.825175,0.03516798899999949,0.32,0.04567314899999936
close,1617648558,"2021-04-06, 01:49:18",0.5002,sell,12.0,,,0.00479484,close 0.499,1617649047,"2021-04-06, 01:57:27",0.498925,0.01050515999999987,0.32,0.04567314899999936
close,1617647967,"2021-04-06, 01:39:27",0.832675,buy,7.2,,,0.004793064,close 0.830925,1617649225,"2021-04-06, 02:00:25",0.830925,-0.017393064000000832,0.325,0.05957134599999915
close,1617647967,"2021-04-06, 01:39:27",0.50705,sell,11.8,,,0.004750590000000001,close 0.500275,1617649225,"2021-04-06, 02:00:25",0.500125,0.07696440999999998,0.325,0.05957134599999915
close,1617649359,"2021-04-06, 02:02:39",0.828275,buy,7.2,,,0.004779608,close 0.829725,1617650313,"2021-04-06, 02:18:33",0.829725,0.0056603920000000045,0.325,0.03986539099999986
close,1617649359,"2021-04-06, 02:02:39",0.50275,sell,11.9,,,0.004767501,close 0.499475,1617650313,"2021-04-06, 02:18:33",0.499475,0.034204998999999854,0.325,0.03986539099999986
close,1617647905,"2021-04-06, 01:38:24",0.835875,buy,7.2,,,0.00481732,close 0.8357,1617650564,"2021-04-06, 02:22:44",0.835875,-0.00481732,0.33,0.05941244200000097
close,1617647905,"2021-04-06, 01:38:25",0.50585,sell,11.9,,,0.0047902380000000005,close 0.50005,1617650564,"2021-04-06, 02:22:44",0.50005,0.06422976200000097,0.33,0.05941244200000097
close,1617651115,"2021-04-06, 02:31:55",0.8296,buy,7.2,,,0.004790552,close 0.833,1617652105,"2021-04-06, 02:48:25",0.833525,0.023469448000000396,0.33,0.04628180800000002
